feature,importance
C8,0.11749913
V70,0.07430151
C4,0.06968784
C14,0.051787276
V91,0.035697706
D3,0.03294214
V97,0.032343853
V48,0.021403747
card6,0.019508652
V69,0.015951766
C10,0.015431698
C1,0.013332366
ProductCD,0.013075937
V90,0.01275736
V49,0.012289532
V54,0.011874174
V45,0.011592028
V87,0.011292313
D2,0.01066187
C12,0.010418248
V62,0.008879657
C11,0.008564316
C13,0.008369154
V94,0.007989019
card3,0.0076398775
R_emaildomain,0.0075783897
C6,0.0074991584
C2,0.0072858976
V99,0.007012376
V67,0.006956157
V96,0.0069126813
D5,0.0068286024
C5,0.006818887
C9,0.006729211
V98,0.0067065507
V83,0.0065943357
V57,0.00638599
C3,0.006355679
D15,0.0062584276
C7,0.0061792177
D10,0.0060126646
V52,0.0058758785
TransactionAmt_log,0.0058558783
TransactionAmt,0.005825161
D1,0.005469445
V95,0.0054677045
V72,0.0053737694
V13,0.0052184034
card2,0.0051829666
V86,0.00506125
V76,0.005049489
V82,0.0050100726
D4,0.0050027235
card1_addr1_count,0.00493249
V53,0.0048197517
card1,0.00480091
card5,0.004793904
dist1,0.004711566
P_emaildomain,0.004677348
V61,0.0046381652
V75,0.004619692
TransactionAmt_decimal,0.004282834
addr1,0.00427188
D11,0.004228152
V20,0.004204574
V12,0.0040119197
card4,0.003987663
V5,0.003928906
V56,0.0039278907
V92,0.003872941
V100,0.003816064
V2,0.0036484285
V71,0.0034875765
V80,0.00348158
V73,0.0034446754
V3,0.0034440593
V11,0.003433377
V50,0.0034175033
V55,0.0033921688
V74,0.0033555336
V17,0.003304713
V8,0.0032339115
V19,0.0032178073
V44,0.0031973922
V47,0.0030818388
V66,0.0030541928
V7,0.0030403438
V4,0.0030107442
V81,0.0029793545
V15,0.0029266016
V77,0.0028703636
V51,0.002816103
Transaction_hour,0.0027181932
V78,0.0026987004
V93,0.0026482688
V18,0.0025914412
V9,0.0025638505
V84,0.0025450548
V58,0.0024778135
V6,0.0024529188
dist2,0.0024139124
V60,0.00232015
V64,0.0022786576
Transaction_day,0.0022752085
V10,0.0021052556
addr2,0.00209542
V85,0.0020651352
V63,0.0019868258
V59,0.0018342235
V14,0.0017921835
V46,0.001639173
V79,0.0012996804
V16,0.0010347927
V1,0.0
V89,0.0
V88,0.0
V65,0.0
V68,0.0
